silver          | 26/04/18 21:19:31 INFO BlockManagerInfo: Added broadcast_2705_piece0 in memory on 0931fa047f38:46793 (size: 38.3 KiB, free: 135.6 MiB)
silver          | 26/04/18 21:19:31 INFO SparkContext: Created broadcast 2705 from start at <unknown>:0
silver          | 26/04/18 21:19:31 INFO FileSourceScanExec: Planning scan with bin packing, max size: 4194304 bytes, open cost is considered as scanning 4194304 bytes.
gold            | 26/04/18 21:19:31 INFO BlockManagerInfo: Added rdd_217_17 in memory on 172.18.0.9:35481 (size: 2.3 KiB, free: 1222.5 MiB)
bronze          | 26/04/18 21:19:31 INFO TaskSetManager: Finished task 0.0 in stage 717.0 (TID 3984) in 414 ms on 172.18.0.6 (executor 13) (1/1)
bronze          | 26/04/18 21:19:31 INFO TaskSchedulerImpl: Removed TaskSet 717.0, whose tasks have all completed, from pool 
bronze          | 26/04/18 21:19:31 INFO DAGScheduler: ResultStage 717 (start at <unknown>:0) finished in 0.455 s
bronze          | 26/04/18 21:19:31 INFO DAGScheduler: Job 636 is finished. Cancelling potential speculative or zombie tasks for this job
bronze          | 26/04/18 21:19:31 INFO TaskSchedulerImpl: Killing all running tasks in stage 717: Stage finished
bronze          | 26/04/18 21:19:31 INFO DAGScheduler: Job 636 finished: start at <unknown>:0, took 0.485678 s
gold            | 26/04/18 21:19:31 INFO BlockManagerInfo: Added rdd_810_17 in memory on 172.18.0.9:35481 (size: 1358.0 B, free: 1222.5 MiB)
bronze          | 2026-04-18 21:19:31 [INFO ] bronze_ingestor.delta_writer: Writing micro-batch 292 to Delta
bronze          | 2026-04-18 21:19:31 [INFO ] bronze_ingestor.delta_writer: Starting: Adding partition columns
gold            | 26/04/18 21:19:31 INFO TaskSetManager: Starting task 18.0 in stage 553.0 (TID 2449) (172.18.0.9, executor 6, partition 18, NODE_LOCAL, 8029 bytes) 
gold            | 26/04/18 21:19:31 INFO TaskSetManager: Finished task 17.0 in stage 553.0 (TID 2448) in 493 ms on 172.18.0.9 (executor 6) (24/50)
silver          | 26/04/18 21:19:31 INFO CodeGenerator: Code generated in 154.319048 ms
silver          | 26/04/18 21:19:31 INFO MemoryStore: Block broadcast_2706 stored as values in memory (estimated size 215.1 KiB, free 130.1 MiB)
silver          | 26/04/18 21:19:31 INFO MemoryStore: Block broadcast_2706_piece0 stored as bytes in memory (estimated size 36.9 KiB, free 130.1 MiB)
silver          | 26/04/18 21:19:31 INFO BlockManagerInfo: Added broadcast_2706_piece0 in memory on 0931fa047f38:46793 (size: 36.9 KiB, free: 135.5 MiB)
silver          | 26/04/18 21:19:31 INFO SparkContext: Created broadcast 2706 from start at <unknown>:0
silver          | 26/04/18 21:19:31 INFO FileSourceScanExec: Planning scan with bin packing, max size: 4194304 bytes, open cost is considered as scanning 4194304 bytes.
silver          | 26/04/18 21:19:31 INFO SparkContext: Starting job: start at <unknown>:0
silver          | 26/04/18 21:19:31 INFO DAGScheduler: Got job 711 (start at <unknown>:0) with 4 output partitions
silver          | 26/04/18 21:19:31 INFO DAGScheduler: Final stage: ResultStage 1264 (start at <unknown>:0)
silver          | 26/04/18 21:19:31 INFO DAGScheduler: Parents of final stage: List()
silver          | 26/04/18 21:19:31 INFO DAGScheduler: Missing parents: List()
silver          | 26/04/18 21:19:31 INFO DAGScheduler: Submitting ResultStage 1264 (MapPartitionsRDD[7831] at start at <unknown>:0), which has no missing parents
silver          | 26/04/18 21:19:31 INFO MemoryStore: Block broadcast_2707 stored as values in memory (estimated size 103.0 KiB, free 130.0 MiB)
silver          | 26/04/18 21:19:31 INFO MemoryStore: Block broadcast_2707_piece0 stored as bytes in memory (estimated size 29.3 KiB, free 130.0 MiB)
silver          | 26/04/18 21:19:31 INFO BlockManagerInfo: Added broadcast_2707_piece0 in memory on 0931fa047f38:46793 (size: 29.3 KiB, free: 135.5 MiB)
silver          | 26/04/18 21:19:31 INFO SparkContext: Created broadcast 2707 from broadcast at DAGScheduler.scala:1585
silver          | 26/04/18 21:19:31 INFO DAGScheduler: Submitting 4 missing tasks from ResultStage 1264 (MapPartitionsRDD[7831] at start at <unknown>:0) (first 15 tasks are for partitions Vector(0, 1, 2, 3))
silver          | 26/04/18 21:19:31 INFO TaskSchedulerImpl: Adding task set 1264.0 with 4 tasks resource profile 0
silver          | 26/04/18 21:19:31 INFO TaskSetManager: Starting task 0.0 in stage 1264.0 (TID 13061) (172.18.0.9, executor 15, partition 0, PROCESS_LOCAL, 8809 bytes) 
